date,game_id,stadium,away_team,home_team,away_score,home_score,status,away_result,home_result,away_hit,home_hit,away_hr,home_hr
2025-05-06,20250506LGOB0,잠실,LG,두산,5,1,종료,승,패,9,6,2,0
2025-05-06,20250506SKLT0,사직,SSG,롯데,0,6,종료,패,승,3,7,0,2
2025-05-06,20250506NCKT0,수원,NC,KT,6,3,종료,승,패,11,11,2,0
2025-05-06,20250506HTWO0,고척,KIA,키움,5,3,종료,승,패,9,7,0,0
2025-05-06,20250506SSHH0,대전,삼성,한화,1,3,종료,패,승,6,9,0,0
2025-05-07,20250507LGOB0,잠실,LG,두산,2,5,종료,패,승,6,8,0,0
2025-05-07,20250507SKLT0,사직,SSG,롯데,2,6,종료,패,승,7,13,0,1
2025-05-07,20250507NCKT0,수원,NC,KT,12,2,종료,승,패,13,8,2,2
2025-05-07,20250507HTWO0,고척,KIA,키움,10,11,종료,패,승,10,9,0,2
2025-05-07,20250507SSHH0,대전,삼성,한화,6,10,종료,패,승,10,13,1,2
2025-05-08,20250509NCOB0,잠실,NC,두산,0,0,예정,예정,예정,0,0,0,0
2025-05-08,20250509HTSK0,문학,KIA,SSG,0,0,예정,예정,예정,0,0,0,0
2025-05-08,20250509LGSS0,대구,LG,삼성,0,0,예정,예정,예정,0,0,0,0
2025-05-08,20250509LTKT0,수원,롯데,KT,0,0,예정,예정,예정,0,0,0,0
2025-05-08,20250509HHWO0,고척,한화,키움,7,5,종료,승,패,13,10,2,4
2025-05-09,20250509NCOB0,잠실,NC,두산,0,0,예정,예정,예정,0,0,0,0
2025-05-09,20250509HTSK0,문학,KIA,SSG,0,0,예정,예정,예정,0,0,0,0
2025-05-09,20250509LGSS0,대구,LG,삼성,0,0,예정,예정,예정,0,0,0,0
2025-05-09,20250509LTKT0,수원,롯데,KT,0,0,예정,예정,예정,0,0,0,0
2025-05-09,20250509HHWO0,고척,한화,키움,7,5,종료,승,패,13,10,2,4
2025-05-10,20250510HHWO0,고척,한화,키움,9,1,종료,승,패,16,4,0,1
2025-05-10,20250510NCOB0,잠실,NC,두산,6,6,종료,무,무,9,10,2,2
2025-05-10,20250510HTSK0,문학,KIA,SSG,5,4,종료,승,패,3,9,0,2
2025-05-10,20250510LTKT0,수원,롯데,KT,8,5,종료,승,패,16,13,1,2
2025-05-10,20250510NCOB1,잠실,NC,두산,0,0,예정,예정,예정,0,0,0,0
2025-05-10,20250510HTSK1,문학,KIA,SSG,0,0,예정,예정,예정,0,0,0,0
2025-05-10,20250510LGSS1,대구,LG,삼성,5,4,종료,승,패,13,8,1,1
2025-05-10,20250510LTKT1,수원,롯데,KT,0,0,예정,예정,예정,0,0,0,0
2025-05-10,20250510LGSS2,대구,LG,삼성,4,1,종료,승,패,8,4,1,0
2025-05-11,20250511LGSS0,대구,LG,삼성,7,4,종료,승,패,8,8,0,0
2025-05-11,20250511HHWO0,고척,한화,키움,8,0,종료,승,패,11,1,1,0
2025-05-11,20250511NCOB1,잠실,NC,두산,11,5,종료,승,패,13,7,0,0
2025-05-11,20250511HTSK1,문학,KIA,SSG,4,8,종료,패,승,7,12,1,0
2025-05-11,20250511LTKT1,수원,롯데,KT,6,1,종료,승,패,10,6,1,0
2025-05-11,20250511NCOB2,잠실,NC,두산,5,2,종료,승,패,9,7,1,0
2025-05-11,20250511HTSK2,문학,KIA,SSG,1,5,종료,패,승,1,5,1,0
2025-05-11,20250511LTKT2,수원,롯데,KT,1,1,종료,무,무,3,5,0,0
2025-05-12,20250513WOLG0,잠실,키움,LG,6,9,종료,패,승,12,12,1,3
2025-05-12,20250513NCSK0,문학,NC,SSG,3,6,종료,패,승,7,9,1,1
2025-05-12,20250513LTHT0,광주,롯데,KIA,1,4,종료,패,승,8,8,0,0
2025-05-12,20250513OBHH0,대전,두산,한화,4,3,종료,승,패,12,11,1,1
2025-05-12,20250513KTSS0,포항,KT,삼성,3,5,종료,패,승,8,7,1,1
2025-05-13,20250513WOLG0,잠실,키움,LG,6,9,종료,패,승,12,12,1,3
2025-05-13,20250513NCSK0,문학,NC,SSG,3,6,종료,패,승,7,9,1,1
2025-05-13,20250513LTHT0,광주,롯데,KIA,1,4,종료,패,승,8,8,0,0
2025-05-13,20250513OBHH0,대전,두산,한화,4,3,종료,승,패,12,11,1,1
2025-05-13,20250513KTSS0,포항,KT,삼성,3,5,종료,패,승,8,7,1,1
2025-05-14,20250514WOLG0,잠실,키움,LG,0,12,종료,패,승,5,15,0,0
2025-05-14,20250514NCSK0,문학,NC,SSG,6,3,종료,승,패,10,6,0,1
2025-05-14,20250514LTHT0,광주,롯데,KIA,4,0,종료,승,패,11,8,1,0
2025-05-14,20250514OBHH0,대전,두산,한화,7,1,종료,승,패,12,6,0,1
2025-05-14,20250514KTSS0,포항,KT,삼성,3,2,종료,승,패,8,6,1,1
2025-05-15,20250515WOLG0,잠실,키움,LG,2,6,종료,패,승,6,8,0,2
2025-05-15,20250515NCSK0,문학,NC,SSG,0,4,종료,패,승,3,8,0,1
2025-05-15,20250515LTHT0,광주,롯데,KIA,6,7,종료,패,승,9,12,1,1
2025-05-15,20250515OBHH0,대전,두산,한화,8,2,종료,승,패,12,6,3,0
2025-05-15,20250515KTSS0,포항,KT,삼성,0,13,종료,패,승,4,13,0,0
2025-05-16,20250516KTLG0,잠실,KT,LG,0,0,예정,예정,예정,0,0,0,0
2025-05-16,20250516SSLT0,사직,삼성,롯데,0,0,예정,예정,예정,0,0,0,0
2025-05-16,20250516OBHT0,광주,두산,KIA,0,0,예정,예정,예정,0,0,0,0
2025-05-16,20250516SKHH0,대전,SSG,한화,0,0,예정,예정,예정,0,0,0,0
2025-05-16,20250516WONC0,울산,키움,NC,0,0,예정,예정,예정,0,0,0,0
2025-05-17,20250517KTLG1,잠실,KT,LG,12,4,종료,승,패,18,12,1,1
2025-05-17,20250517SSLT1,사직,삼성,롯데,5,7,종료,패,승,10,9,0,1
2025-05-17,20250517OBHT1,광주,두산,KIA,2,5,종료,패,승,6,9,1,1
2025-05-17,20250517SKHH1,대전,SSG,한화,0,1,종료,패,승,4,6,0,0
2025-05-17,20250517WONC1,울산,키움,NC,2,3,종료,패,승,5,6,0,1
2025-05-17,20250517KTLG2,잠실,KT,LG,7,6,종료,승,패,8,9,1,2
2025-05-17,20250517SSLT2,사직,삼성,롯데,7,8,종료,패,승,8,13,2,0
2025-05-17,20250517OBHT2,광주,두산,KIA,1,4,종료,패,승,9,8,1,1
2025-05-17,20250517SKHH2,대전,SSG,한화,5,2,종료,승,패,9,7,0,1
2025-05-17,20250517WONC2,울산,키움,NC,3,2,종료,승,패,8,8,1,1
2025-05-18,20250518KTLG0,잠실,KT,LG,1,5,종료,패,승,7,6,0,2
2025-05-18,20250518SSLT0,사직,삼성,롯데,3,6,종료,패,승,8,7,0,1
2025-05-18,20250518OBHT0,광주,두산,KIA,4,5,종료,패,승,13,9,1,1
2025-05-18,20250518SKHH0,대전,SSG,한화,7,3,종료,승,패,10,12,1,0
2025-05-18,20250518WONC0,울산,키움,NC,0,5,종료,패,승,1,7,0,0
2025-05-19,20250520SKOB0,잠실,SSG,두산,5,3,종료,승,패,8,10,0,1
2025-05-19,20250520LGLT0,사직,LG,롯데,17,9,종료,승,패,12,17,1,1
2025-05-19,20250520HTKT0,수원,KIA,KT,3,5,종료,패,승,9,7,1,1
2025-05-19,20250520SSWO0,고척,삼성,키움,6,3,종료,승,패,11,9,1,0
2025-05-19,20250520HHNC0,울산,한화,NC,4,1,종료,승,패,7,4,1,0
2025-05-20,20250520SKOB0,잠실,SSG,두산,5,3,종료,승,패,8,10,0,1
2025-05-20,20250520LGLT0,사직,LG,롯데,17,9,종료,승,패,12,17,1,1
2025-05-20,20250520HTKT0,수원,KIA,KT,3,5,종료,패,승,9,7,1,1
2025-05-20,20250520SSWO0,고척,삼성,키움,6,3,종료,승,패,11,9,1,0
2025-05-20,20250520HHNC0,울산,한화,NC,4,1,종료,승,패,7,4,1,0
2025-05-21,20250521SKOB0,잠실,SSG,두산,9,1,종료,승,패,9,8,0,1
2025-05-21,20250521LGLT0,사직,LG,롯데,7,7,종료,무,무,13,15,2,1
2025-05-21,20250521HTKT0,수원,KIA,KT,1,3,종료,패,승,10,9,0,0
2025-05-21,20250521SSWO0,고척,삼성,키움,6,1,종료,승,패,8,7,0,0
2025-05-21,20250521HHNC0,울산,한화,NC,2,5,종료,패,승,7,7,0,0
2025-05-22,20250522SKOB0,잠실,SSG,두산,5,6,종료,패,승,8,11,2,1
2025-05-22,20250522LGLT0,사직,LG,롯데,4,11,종료,패,승,8,13,2,0
2025-05-22,20250522HTKT0,수원,KIA,KT,8,3,종료,승,패,14,6,1,0
2025-05-22,20250522SSWO0,고척,삼성,키움,2,0,종료,승,패,3,5,1,0
2025-05-22,20250522HHNC0,울산,한화,NC,3,4,종료,패,승,5,10,1,0
2025-05-23,20250523NCOB0,잠실,NC,두산,1,1,종료,무,무,3,8,0,0
2025-05-23,20250523LGSK0,문학,LG,SSG,3,2,종료,승,패,5,5,1,0
2025-05-23,20250523HTSS0,대구,KIA,삼성,7,6,종료,승,패,13,11,1,1
2025-05-23,20250523KTWO0,고척,KT,키움,7,5,종료,승,패,14,12,0,1
